timestamp,previous_mode,new_mode,trigger_type,rtt_ms,bandwidth_kbps,error_rate_pct,inference_ms,network_ok,bandwidth_ok,polls_confirmed,reason
2026-05-20 15:53:23,CLOUD,LOCAL,FALLBACK,250.00,500.00,0.00,350.00,0,0,0,csv test lock
2026-05-20 15:53:23,CLOUD,LOCAL,FALLBACK,-1.00,0.00,0.00,-1.00,0,0,0,recovery test
2026-05-20 15:53:23,LOCAL,CLOUD,RECOVERY,30.00,800.00,0.00,350.00,1,1,5,recovery test
2026-05-20 15:53:23,CLOUD,LOCAL,FALLBACK,-1.00,0.00,0.00,-1.00,0,0,0,prop test
2026-05-20 15:54:39,CLOUD,LOCAL,FALLBACK,50.00,500.00,0.00,350.00,0,0,0,test: cloud timeout
2026-05-20 15:54:39,CLOUD,LOCAL,FALLBACK,-1.00,0.00,0.00,-1.00,0,0,0,first lock
2026-05-20 15:54:39,CLOUD,LOCAL,FALLBACK,-1.00,0.00,0.00,-1.00,0,0,0,test lock
2026-05-20 15:54:39,CLOUD,LOCAL,FALLBACK,-1.00,0.00,0.00,-1.00,0,0,0,test lock
2026-05-20 15:54:39,LOCAL,CLOUD,RECOVERY,50.00,500.00,0.00,350.00,1,1,5,test lock
2026-05-20 15:54:39,CLOUD,LOCAL,FALLBACK,-1.00,0.00,0.00,-1.00,0,0,0,test lock
2026-05-20 15:54:39,CLOUD,LOCAL,FALLBACK,250.00,500.00,0.00,350.00,0,0,0,csv test lock
2026-05-20 15:54:39,CLOUD,LOCAL,FALLBACK,-1.00,0.00,0.00,-1.00,0,0,0,recovery test
2026-05-20 15:54:39,LOCAL,CLOUD,RECOVERY,30.00,800.00,0.00,350.00,1,1,5,recovery test
2026-05-20 15:54:39,CLOUD,LOCAL,FALLBACK,-1.00,0.00,0.00,-1.00,0,0,0,prop test
2026-05-20 16:03:19,LOCAL,CLOUD,HYSTERESIS,0.76,6576.72,0.00,-1.00,1,1,3,
2026-05-20 16:09:36,LOCAL,CLOUD,HYSTERESIS,0.85,5925.20,0.00,-1.00,1,1,3,
2026-05-20 17:03:48,LOCAL,CLOUD,HYSTERESIS,0.71,837.50,0.00,130.68,1,1,3,
2026-05-20 17:14:53,LOCAL,CLOUD,HYSTERESIS,0.86,5801.25,0.00,180.99,1,1,3,
2026-05-20 17:15:20,CLOUD,LOCAL,FALLBACK,42.50,182.27,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
