timestamp,poll_id,rtt_ms,bandwidth_kbps,cpu_load,ram_usage,gpu_load,gpu_temp,prev_rtt_ms,rtt_delta,rtt_trend,avg_bw_last_6s,local_latency_ms,cloud_latency_ms,queue_depth,error_rate_pct,network_ok,bandwidth_ok,offload_ok,prob,raw_decision,pending_mode,pending_count,previous_mode,current_mode,transition,push_ok,pipeline_action
2026-05-21 16:52:03,46,0.00,0.00,9.40,86.41,0.00,42.50,0.00,0.00,stable,0.00,-1.00,-1.00,0,0.00,0,0,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:14,1,0.00,0.00,0.00,85.18,36.80,40.00,0.00,0.00,stable,0.00,-1.00,-1.00,0,0.00,0,0,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:16,2,0.00,0.00,26.13,88.50,31.90,40.50,0.00,0.00,stable,0.00,-1.00,-1.00,0,0.00,0,0,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:18,3,0.55,8499.10,21.76,93.15,9.70,40.50,0.00,0.55,stable,2833.03,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:20,4,0.55,8499.10,25.98,95.47,0.00,40.50,0.55,0.00,stable,4249.55,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:22,5,0.66,8955.01,12.34,85.07,7.70,40.00,0.55,0.11,stable,6488.30,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:24,6,0.77,3770.16,4.34,85.07,0.00,40.00,0.66,0.11,stable,7430.84,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:26,7,0.77,3770.16,3.51,85.08,0.00,40.00,0.77,0.00,stable,6248.61,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:28,8,1.21,3722.89,4.10,85.07,0.00,39.50,0.77,0.45,stable,5054.56,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:30,9,0.62,3784.62,4.10,85.08,0.00,39.50,1.21,-0.59,stable,3761.96,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:32,10,0.62,3784.62,3.50,85.08,0.00,39.50,0.62,0.00,stable,3765.57,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:34,11,27.84,203.38,4.34,85.09,0.00,39.50,0.62,27.22,up,2873.88,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:36,12,10.59,3671.16,4.66,85.08,0.00,39.00,27.84,-17.24,down,2860.94,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:38,13,10.59,3671.16,3.51,85.08,0.00,39.00,10.59,0.00,stable,2832.58,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:41,14,0.66,3764.24,3.85,85.08,0.00,39.00,10.59,-9.93,stable,2827.49,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:43,15,0.57,5186.96,18.79,85.09,13.30,39.00,0.66,-0.09,stable,4073.38,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:45,16,0.57,5186.96,13.66,85.10,0.00,39.00,0.57,0.00,stable,4452.33,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:47,17,0.60,3699.90,8.33,85.10,0.00,39.00,0.57,0.03,stable,4459.52,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:49,18,0.64,3333.44,4.92,85.10,0.00,39.00,0.60,0.04,stable,4351.82,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:51,19,0.64,3333.44,13.51,85.10,10.20,39.00,0.64,0.00,stable,3888.44,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:53,20,1.06,4588.95,10.34,85.11,6.60,39.00,0.64,0.43,stable,3738.94,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:55,21,0.64,5830.48,19.15,85.08,0.00,39.00,1.06,-0.43,stable,4271.58,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:57,22,0.64,5830.48,10.94,85.07,0.00,39.00,0.64,0.00,stable,4895.84,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:53:59,23,0.64,3878.23,4.07,85.08,0.00,38.50,0.64,0.00,stable,5032.04,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:01,24,0.68,4662.28,3.24,85.09,0.00,38.50,0.64,0.04,stable,5050.37,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:03,25,0.68,4662.28,5.70,85.09,0.00,38.50,0.68,0.00,stable,4758.32,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:05,26,0.65,9349.24,3.76,85.09,21.60,38.50,0.68,-0.02,stable,5638.01,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:07,27,0.62,5509.76,18.35,85.09,16.80,38.50,0.65,-0.04,stable,6045.89,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:09,28,0.62,5509.76,15.03,85.09,14.70,38.50,0.62,0.00,stable,6257.76,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:11,29,0.58,3765.93,6.00,85.09,0.00,38.50,0.62,-0.04,stable,6033.67,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:13,30,0.58,3765.93,6.90,85.11,0.00,38.00,0.58,0.00,stable,4637.84,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:15,31,0.68,5295.84,8.63,85.11,0.00,38.50,0.58,0.09,stable,4584.36,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:17,32,0.69,3727.44,5.52,85.09,0.00,38.00,0.68,0.01,stable,4138.78,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:19,33,0.69,3727.44,6.61,85.08,0.00,38.00,0.69,0.00,stable,4129.16,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:21,34,0.66,4416.22,5.68,85.08,16.80,38.00,0.69,-0.03,stable,4291.74,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:23,35,0.53,9130.46,25.46,87.36,36.10,38.50,0.66,-0.13,stable,5250.39,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:25,36,0.53,9130.46,20.45,92.64,43.60,38.50,0.53,0.00,stable,6601.14,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:27,37,0.81,8542.37,26.59,95.33,0.00,39.00,0.53,0.28,stable,7804.88,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:29,38,0.67,8132.44,14.18,85.10,0.00,38.50,0.81,-0.14,stable,8733.93,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:31,39,0.67,8132.44,4.40,85.09,0.00,38.50,0.67,0.00,stable,8484.43,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:33,40,0.78,3384.89,4.64,85.09,0.00,38.00,0.67,0.11,stable,7048.03,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:35,41,0.68,4459.65,4.39,85.09,0.00,38.00,0.78,-0.11,stable,6027.35,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:37,42,0.68,4459.65,4.04,85.09,0.00,38.00,0.68,0.00,stable,5109.16,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:39,43,0.65,3744.50,4.13,85.10,0.00,38.00,0.68,-0.03,stable,4012.17,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:41,44,0.67,4051.98,4.70,85.10,0.00,37.50,0.65,0.03,stable,4178.95,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:43,45,0.67,4051.98,4.05,85.10,0.00,37.50,0.67,0.00,stable,4077.03,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:45,46,0.67,3711.77,4.69,85.10,0.00,37.50,0.67,-0.00,stable,3890.06,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
