timestamp,sample_id,scenario,mode,current_fps,average_fps,estimated_frames_total,rtt_ms,error_rate_pct,cpu_load,ram_usage,gpu_load,gpu_temp,frame_latency_ms,deepstream_alive
2026-05-21 11:14:09,26,thermal,LOCAL,27.79,27.81,1522,0.54,0.0,21.67,82.66,98.5,55.0,35.98,1
2026-05-21 11:14:11,27,thermal,LOCAL,27.93,27.82,1661,0.55,0.0,18.97,82.66,98.4,55.0,35.8,1
2026-05-21 11:14:13,28,thermal,LOCAL,27.93,27.82,1661,0.53,0.0,17.86,82.78,98.5,55.0,35.8,1
2026-05-21 11:14:15,29,thermal,LOCAL,27.97,27.84,1800,0.47,0.0,25.0,82.8,98.5,55.5,35.75,1
2026-05-21 11:14:17,30,thermal,LOCAL,27.97,27.84,1800,0.55,0.0,18.97,82.72,98.5,55.5,35.75,1
2026-05-21 11:14:19,31,thermal,LOCAL,27.97,27.84,1800,0.56,0.0,20.0,82.72,98.5,55.5,35.75,1
2026-05-21 11:14:21,32,thermal,LOCAL,27.86,27.83,1939,0.56,0.0,20.34,82.71,98.4,56.0,35.89,1
2026-05-21 11:14:23,33,thermal,LOCAL,27.86,27.83,1939,0.47,0.0,20.0,82.73,98.8,55.5,35.89,1
2026-05-21 11:14:25,34,thermal,LOCAL,27.97,27.85,2078,0.55,0.0,22.58,82.74,98.5,55.5,35.75,1
2026-05-21 11:14:27,35,thermal,LOCAL,27.97,27.85,2078,0.58,0.0,21.67,82.75,98.5,55.5,35.75,1
2026-05-21 11:14:29,36,thermal,LOCAL,27.97,27.85,2078,0.53,0.0,18.64,82.77,98.3,56.0,35.75,1
2026-05-21 11:14:31,37,thermal,LOCAL,27.95,27.86,2217,0.54,0.0,20.0,82.78,98.5,56.0,35.78,1
2026-05-21 11:14:33,38,thermal,LOCAL,27.95,27.86,2217,0.57,0.0,18.64,82.8,98.3,56.0,35.78,1
2026-05-21 11:14:35,39,thermal,LOCAL,28.07,27.86,2357,0.53,0.0,17.54,82.81,98.4,56.5,35.63,1
2026-05-21 11:14:37,40,thermal,LOCAL,28.07,27.86,2357,0.53,0.0,17.54,82.82,98.5,56.5,35.63,1
2026-05-21 11:14:39,41,thermal,LOCAL,28.07,27.86,2357,0.49,0.0,21.67,82.84,99.0,56.5,35.63,1
2026-05-21 11:14:41,42,thermal,LOCAL,27.78,27.86,2495,0.55,0.0,22.03,82.85,98.4,57.0,36.0,1
2026-05-21 11:14:43,43,thermal,LOCAL,27.78,27.86,2495,0.53,0.0,21.67,82.85,98.8,56.5,36.0,1
2026-05-21 11:14:45,44,thermal,LOCAL,28.12,27.88,2635,0.55,0.0,17.24,82.85,98.4,56.5,35.56,1
2026-05-21 11:14:47,45,thermal,LOCAL,28.12,27.88,2635,0.5,0.0,22.58,82.87,98.0,56.5,35.56,1
2026-05-21 11:14:49,46,thermal,LOCAL,28.12,27.88,2635,0.54,0.0,35.0,82.87,99.1,56.5,35.56,1
2026-05-21 11:14:51,47,thermal,LOCAL,27.83,27.87,2774,0.55,0.0,25.42,82.81,98.5,57.0,35.93,1
2026-05-21 11:14:53,48,thermal,LOCAL,27.83,27.87,2774,0.53,0.0,15.79,82.69,98.8,57.0,35.93,1
2026-05-21 11:14:55,49,thermal,LOCAL,27.68,27.86,2912,0.56,0.0,17.54,82.79,98.6,57.5,36.13,1
2026-05-21 11:14:57,50,thermal,LOCAL,27.68,27.86,2912,0.58,0.0,20.0,82.69,98.5,57.0,36.13,1
2026-05-21 11:14:59,51,thermal,LOCAL,27.68,27.86,2912,0.63,0.0,20.0,82.8,98.5,57.5,36.13,1
2026-05-21 11:15:01,52,thermal,LOCAL,28.07,27.88,3052,0.57,0.0,20.34,82.74,98.7,57.0,35.63,1
2026-05-21 11:15:03,53,thermal,LOCAL,28.07,27.88,3052,0.58,0.0,21.05,82.72,98.7,57.0,35.63,1
2026-05-21 11:15:05,54,thermal,LOCAL,27.96,27.88,3191,0.83,0.0,20.34,82.82,99.0,58.0,35.77,1
2026-05-21 11:15:07,55,thermal,LOCAL,27.96,27.88,3191,0.56,0.0,22.95,82.73,98.8,57.5,35.77,1
2026-05-21 11:15:09,56,thermal,LOCAL,27.96,27.88,3191,0.53,0.0,21.67,82.83,98.4,57.5,35.77,1
2026-05-21 11:15:11,57,thermal,LOCAL,27.98,27.88,3330,0.54,0.0,18.64,82.75,98.3,57.5,35.74,1
2026-05-21 11:15:13,58,thermal,LOCAL,27.98,27.88,3330,0.55,0.0,22.81,82.86,97.9,58.0,35.74,1
2026-05-21 11:15:15,59,thermal,LOCAL,28.13,27.89,3470,0.5,0.0,18.97,82.77,98.1,58.0,35.55,1
2026-05-21 11:15:17,60,thermal,LOCAL,28.13,27.89,3470,0.59,0.0,21.31,82.89,98.4,57.5,35.55,1
